Critère/colonne,Libellé clair,Rôle actuel,Famille,Sens,Poids interne/règle,Poids effectif CT %,Poids effectif MT %,Poids effectif LT %,historical_status,source_bucket,research_phase,availability_note
size_proxy,size proxy,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,B_EXTERNAL_HIST_RECONSTRUCTIBLE,Euronext/indices/macro/benchmark/market data,ENRICH_THEN_SCREEN,Reconstructible mais nécessite une série historique externe PIT.
liquidity_proxy,liquidity proxy,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,B_EXTERNAL_HIST_RECONSTRUCTIBLE,Euronext/indices/macro/benchmark/market data,ENRICH_THEN_SCREEN,Reconstructible mais nécessite une série historique externe PIT.
score_brut,Score brut,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
couverture,Couverture,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
confiance,Confiance,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
score_effectif,Score effectif,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
ta_score_6,TA score 6,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
n_sessions,n sessions,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,A_OHLCV_2010_2026,OHLCV gouverné,SCREEN_NOW,Recalculable à J0 sans look-ahead.
last_close,Dernière clôture,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,A_OHLCV_2010_2026,OHLCV gouverné,SCREEN_NOW,Recalculable à J0 sans look-ahead.
mm20,MM20,SCORANT_DIRECT,Momentum,Croissant,Momentum:1.0,4.34782608695652,3.2258064516129,1.66666666666667,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
mm50,MM50,SCORANT_DIRECT,Momentum,Croissant,Momentum:1.0,4.34782608695652,3.2258064516129,1.66666666666667,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
mm200,MM200,SCORANT_DIRECT,Momentum,Croissant,Momentum:1.0,4.34782608695652,3.2258064516129,1.66666666666667,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
rsi14,RSI14,SCORANT_DIRECT,Momentum,Croissant,Momentum:1.0,4.34782608695652,3.2258064516129,1.66666666666667,A_OHLCV_2010_2026,OHLCV gouverné,SCREEN_NOW,Recalculable à J0 sans look-ahead.
macd_hist,MACD histogramme,SCORANT_DIRECT,Momentum,Croissant,Momentum:1.0,4.34782608695652,3.2258064516129,1.66666666666667,A_OHLCV_2010_2026,OHLCV gouverné,SCREEN_NOW,Recalculable à J0 sans look-ahead.
atr14,ATR14,SCORANT_DIRECT,Risque,Décroissant,Risque:1.0,3.26086956521739,3.2258064516129,2.5,A_OHLCV_2010_2026,OHLCV gouverné,SCREEN_NOW,Recalculable à J0 sans look-ahead.
bb_upper,Bollinger haute,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,A_OHLCV_2010_2026,OHLCV gouverné,SCREEN_NOW,Recalculable à J0 sans look-ahead.
bb_lower,Bollinger basse,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,A_OHLCV_2010_2026,OHLCV gouverné,SCREEN_NOW,Recalculable à J0 sans look-ahead.
rvol20,RVOL20,SCORANT_DIRECT,Momentum,Croissant,Momentum:1.0,4.34782608695652,3.2258064516129,1.66666666666667,A_OHLCV_2010_2026,OHLCV gouverné,SCREEN_NOW,Recalculable à J0 sans look-ahead.
perf_1m_pct,Performance 1 mois,SCORANT_DIRECT,Momentum,Croissant,Momentum:1.0,4.34782608695652,3.2258064516129,1.66666666666667,A_OHLCV_2010_2026,OHLCV gouverné,SCREEN_NOW,Recalculable à J0 sans look-ahead.
perf_3m_pct,Performance 3 mois,SCORANT_DIRECT,Momentum,Croissant,Momentum:1.0,4.34782608695652,3.2258064516129,1.66666666666667,A_OHLCV_2010_2026,OHLCV gouverné,SCREEN_NOW,Recalculable à J0 sans look-ahead.
perf_1y_pct,Performance 1 an,SCORANT_DIRECT,Momentum,Croissant,Momentum:1.0,4.34782608695652,3.2258064516129,1.66666666666667,A_OHLCV_2010_2026,OHLCV gouverné,SCREEN_NOW,Recalculable à J0 sans look-ahead.
above_mm20,Cours > MM20,SCORANT_DIRECT,Momentum,Croissant,Momentum:1.0,4.34782608695652,3.2258064516129,1.66666666666667,A_OHLCV_2010_2026,OHLCV gouverné,SCREEN_NOW,Recalculable à J0 sans look-ahead.
above_mm50,Cours > MM50,SCORANT_DIRECT,Momentum,Croissant,Momentum:1.0,4.34782608695652,3.2258064516129,1.66666666666667,A_OHLCV_2010_2026,OHLCV gouverné,SCREEN_NOW,Recalculable à J0 sans look-ahead.
above_mm200,Cours > MM200,SCORANT_DIRECT,Momentum,Croissant,Momentum:1.0,4.34782608695652,3.2258064516129,1.66666666666667,A_OHLCV_2010_2026,OHLCV gouverné,SCREEN_NOW,Recalculable à J0 sans look-ahead.
per_ttm,PER TTM,SCORANT_DIRECT,Valorisation,Décroissant,Valorisation:1.0,2.17391304347826,3.2258064516129,4.16666666666667,D_SNAPSHOT_CURRENT_OR_NON_PIT,Fundamentaux/valorisation,DO_NOT_BACKFILL,Historique PIT non démontré dans le corpus actuel.
per_forward,PER forward,SCORANT_DIRECT,Valorisation,Décroissant,Valorisation:1.0,2.17391304347826,3.2258064516129,4.16666666666667,D_SNAPSHOT_CURRENT_OR_NON_PIT,Fundamentaux/valorisation,DO_NOT_BACKFILL,Historique PIT non démontré dans le corpus actuel.
per_vs_universe_pct,PER vs univers,SCORANT_DIRECT,Valorisation,Décroissant,Valorisation:1.0,2.17391304347826,3.2258064516129,4.16666666666667,D_SNAPSHOT_CURRENT_OR_NON_PIT,Fundamentaux/valorisation,DO_NOT_BACKFILL,Historique PIT non démontré dans le corpus actuel.
per_vs_sector_pct,PER vs secteur,SCORANT_DIRECT,Valorisation,Décroissant,Valorisation:1.0,2.17391304347826,3.2258064516129,4.16666666666667,D_SNAPSHOT_CURRENT_OR_NON_PIT,Fundamentaux/valorisation,DO_NOT_BACKFILL,Historique PIT non démontré dans le corpus actuel.
pb,Price/book,SCORANT_DIRECT,Valorisation,Décroissant,Valorisation:1.0,2.17391304347826,3.2258064516129,4.16666666666667,D_SNAPSHOT_CURRENT_OR_NON_PIT,Fundamentaux/valorisation,DO_NOT_BACKFILL,Historique PIT non démontré dans le corpus actuel.
roe,ROE,SCORANT_DIRECT,Qualité,Croissant,Qualité:1.0,2.17391304347826,4.03225806451613,5.83333333333333,D_SNAPSHOT_CURRENT_OR_NON_PIT,Fundamentaux/valorisation,DO_NOT_BACKFILL,Historique PIT non démontré dans le corpus actuel.
roe_api,ROE API,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,D_SNAPSHOT_CURRENT_OR_NON_PIT,Fundamentaux/valorisation,DO_NOT_BACKFILL,Historique PIT non démontré dans le corpus actuel.
ev_ebit,EV/EBIT,SCORANT_DIRECT,Valorisation,Décroissant,Valorisation:1.0,2.17391304347826,3.2258064516129,4.16666666666667,D_SNAPSHOT_CURRENT_OR_NON_PIT,Fundamentaux/valorisation,DO_NOT_BACKFILL,Historique PIT non démontré dans le corpus actuel.
fcf_yield,FCF yield,SCORANT_DIRECT,Valorisation,Croissant,Valorisation:1.0,2.17391304347826,3.2258064516129,4.16666666666667,D_SNAPSHOT_CURRENT_OR_NON_PIT,Fundamentaux/valorisation,DO_NOT_BACKFILL,Historique PIT non démontré dans le corpus actuel.
dette_ebitda,Dette/EBITDA,SCORANT_DIRECT,Risque,Décroissant,Risque:1.0,3.26086956521739,3.2258064516129,2.5,D_SNAPSHOT_CURRENT_OR_NON_PIT,Fundamentaux/valorisation,DO_NOT_BACKFILL,Historique PIT non démontré dans le corpus actuel.
marge_ebit,Marge EBIT,SCORANT_DIRECT,Qualité,Croissant,Qualité:1.0,2.17391304347826,4.03225806451613,5.83333333333333,D_SNAPSHOT_CURRENT_OR_NON_PIT,Fundamentaux/valorisation,DO_NOT_BACKFILL,Historique PIT non démontré dans le corpus actuel.
marge_nette,Marge nette,SCORANT_DIRECT,Qualité,Croissant,Qualité:1.0,2.17391304347826,4.03225806451613,5.83333333333333,D_SNAPSHOT_CURRENT_OR_NON_PIT,Fundamentaux/valorisation,DO_NOT_BACKFILL,Historique PIT non démontré dans le corpus actuel.
croiss_ca_3y,Croissance CA 3 ans,SCORANT_DIRECT,Qualité,Croissant,Qualité:1.0,2.17391304347826,4.03225806451613,5.83333333333333,D_SNAPSHOT_CURRENT_OR_NON_PIT,Fundamentaux/valorisation,DO_NOT_BACKFILL,Historique PIT non démontré dans le corpus actuel.
croiss_eps_3y,Croissance EPS 3 ans,SCORANT_DIRECT,Qualité,Croissant,Qualité:1.0,2.17391304347826,4.03225806451613,5.83333333333333,D_SNAPSHOT_CURRENT_OR_NON_PIT,Fundamentaux/valorisation,DO_NOT_BACKFILL,Historique PIT non démontré dans le corpus actuel.
fundamentals,Fundamentaux,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,D_SNAPSHOT_CURRENT_OR_NON_PIT,Fundamentaux/valorisation,DO_NOT_BACKFILL,Historique PIT non démontré dans le corpus actuel.
dividend_yield_pct,Rendement dividende,SCORANT_DIRECT,Qualité + Valorisation,Croissant,Qualité:0.5 + Valorisation:0.5,2.17391304347826,3.62903225806452,5,D_SNAPSHOT_CURRENT_OR_NON_PIT,Fundamentaux/valorisation,DO_NOT_BACKFILL,Historique PIT non démontré dans le corpus actuel.
payout_ratio,Payout ratio,SCORANT_DIRECT,Qualité,Croissant,Qualité:1.0,2.17391304347826,4.03225806451613,5.83333333333333,D_SNAPSHOT_CURRENT_OR_NON_PIT,Fundamentaux/valorisation,DO_NOT_BACKFILL,Historique PIT non démontré dans le corpus actuel.
target_price,Objectif de cours,SCORANT_DIRECT,Analystes,Croissant,Analystes:1.0,3.26086956521739,3.2258064516129,1.66666666666667,C_HISTORIQUE_PARTIEL_ANALYSTES,Snapshots analystes/Boursorama/Yahoo/MarketBeat selon champ,LIMITED_RECENT_ONLY,Pas d’historique PIT 2010-2025 fiable; snapshots réellement conservés à partir de 2026-08-26 pour Boursorama.
upside_pct,Potentiel,SCORANT_DIRECT,Analystes,Croissant,Analystes:1.0,3.26086956521739,3.2258064516129,1.66666666666667,C_HISTORIQUE_PARTIEL_ANALYSTES,Snapshots analystes/Boursorama/Yahoo/MarketBeat selon champ,LIMITED_RECENT_ONLY,Pas d’historique PIT 2010-2025 fiable; snapshots réellement conservés à partir de 2026-08-26 pour Boursorama.
eps_revision_3m,Révision EPS 3 mois,SCORANT_DIRECT,Analystes,Croissant,Analystes:1.0,3.26086956521739,3.2258064516129,1.66666666666667,C_HISTORIQUE_PARTIEL_ANALYSTES,Snapshots analystes/Boursorama/Yahoo/MarketBeat selon champ,LIMITED_RECENT_ONLY,Pas d’historique PIT 2010-2025 fiable; snapshots réellement conservés à partir de 2026-08-26 pour Boursorama.
sic_score,SIC score,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
volatility_20d,Volatilité 20j,SCORANT_DIRECT,Risque,Décroissant,Risque:1.0,3.26086956521739,3.2258064516129,2.5,A_OHLCV_2010_2026,OHLCV gouverné,SCREEN_NOW,Recalculable à J0 sans look-ahead.
volatility_60d,Volatilité 60j,SCORANT_DIRECT,Risque,Décroissant,Risque:1.0,3.26086956521739,3.2258064516129,2.5,A_OHLCV_2010_2026,OHLCV gouverné,SCREEN_NOW,Recalculable à J0 sans look-ahead.
max_drawdown_1y,Max drawdown 1 an,SCORANT_DIRECT,Risque,Décroissant,Risque:1.0,3.26086956521739,3.2258064516129,2.5,A_OHLCV_2010_2026,OHLCV gouverné,SCREEN_NOW,Recalculable à J0 sans look-ahead.
beta,Bêta,SCORANT_DIRECT,Risque + Structure,Décroissant,Risque:0.5 + Structure:0.5,2.71739130434783,2.41935483870968,2.5,B_EXTERNAL_HIST_RECONSTRUCTIBLE,Euronext/indices/macro/benchmark/market data,ENRICH_THEN_SCREEN,Reconstructible mais nécessite une série historique externe PIT.
scenario_bear_pct,Scénario bear,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
scenario_base_pct,Scénario base,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
scenario_bull_pct,Scénario bull,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
asymmetry,Asymétrie,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
broker_pea_confirmed,PEA confirmé courtier,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
data_trust_pct,Confiance data,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
coverage_pct,Couverture %,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
evidence_level,Niveau de preuve,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
shadow_only,Shadow only,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
ref_version,Version référentiel,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
schema_version,Version schéma,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
asset_class,Classe d’actif,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
region,Région,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,B_EXTERNAL_HIST_RECONSTRUCTIBLE,Euronext/indices/macro/benchmark/market data,ENRICH_THEN_SCREEN,Reconstructible mais nécessite une série historique externe PIT.
markets,Marchés,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,B_EXTERNAL_HIST_RECONSTRUCTIBLE,Euronext/indices/macro/benchmark/market data,ENRICH_THEN_SCREEN,Reconstructible mais nécessite une série historique externe PIT.
in_cac40,CAC40,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,B_EXTERNAL_HIST_RECONSTRUCTIBLE,Euronext/indices/macro/benchmark/market data,ENRICH_THEN_SCREEN,Reconstructible mais nécessite une série historique externe PIT.
in_euronext100,Euronext100,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,B_EXTERNAL_HIST_RECONSTRUCTIBLE,Euronext/indices/macro/benchmark/market data,ENRICH_THEN_SCREEN,Reconstructible mais nécessite une série historique externe PIT.
in_aex,AEX,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,B_EXTERNAL_HIST_RECONSTRUCTIBLE,Euronext/indices/macro/benchmark/market data,ENRICH_THEN_SCREEN,Reconstructible mais nécessite une série historique externe PIT.
in_bel20,BEL20,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,B_EXTERNAL_HIST_RECONSTRUCTIBLE,Euronext/indices/macro/benchmark/market data,ENRICH_THEN_SCREEN,Reconstructible mais nécessite une série historique externe PIT.
in_amx,AMX,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,B_EXTERNAL_HIST_RECONSTRUCTIBLE,Euronext/indices/macro/benchmark/market data,ENRICH_THEN_SCREEN,Reconstructible mais nécessite une série historique externe PIT.
in_ftse_mib,FTSE MIB,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,B_EXTERNAL_HIST_RECONSTRUCTIBLE,Euronext/indices/macro/benchmark/market data,ENRICH_THEN_SCREEN,Reconstructible mais nécessite une série historique externe PIT.
in_psi,PSI,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,B_EXTERNAL_HIST_RECONSTRUCTIBLE,Euronext/indices/macro/benchmark/market data,ENRICH_THEN_SCREEN,Reconstructible mais nécessite une série historique externe PIT.
in_euronext_growth,Euronext Growth,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,B_EXTERNAL_HIST_RECONSTRUCTIBLE,Euronext/indices/macro/benchmark/market data,ENRICH_THEN_SCREEN,Reconstructible mais nécessite une série historique externe PIT.
distribution_policy,Politique distribution,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
morningstar_rating,Note Morningstar,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
morningstar_category,Catégorie Morningstar,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
perf_3y_pct,Performance 3 ans,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,D_SNAPSHOT_CURRENT_OR_NON_PIT,Référentiel enrichi,AUDIT_SOURCE,Disponibilité historique à auditer avant test.
perf_5y_pct,Performance 5 ans,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,D_SNAPSHOT_CURRENT_OR_NON_PIT,Référentiel enrichi,AUDIT_SOURCE,Disponibilité historique à auditer avant test.
rank_cat_1y,Rang catégorie 1 an,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
rank_cat_3y,Rang catégorie 3 ans,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
rank_cat_5y,Rang catégorie 5 ans,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
eligible_pea_note,Note PEA,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
data_enrichment_note,Note enrichissement,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,E_META_OUTPUT_NOT_PREDICTOR,Métadonnée / score / sortie / qualité,DESCRIPTIVE_OR_EXCLUDE,Ne doit pas être utilisé comme prédicteur brut sans démonstration d’antériorité.
euronext_name,Nom Euronext,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,B_EXTERNAL_HIST_RECONSTRUCTIBLE,Euronext/indices/macro/benchmark/market data,ENRICH_THEN_SCREEN,Reconstructible mais nécessite une série historique externe PIT.
euronext_link,Lien Euronext,CONTEXTE_NON_SCORANT_ACTUEL,Hors pondération directe actuelle,N/A,0,0,0,0,D_SNAPSHOT_CURRENT_OR_NON_PIT,Référentiel enrichi,AUDIT_SOURCE,Disponibilité historique à auditer avant test.
