instrument_id;isin;ticker;name;universe;asset_class;economic_family;region;sector_or_theme;benchmark;provider;is_pea;pea_status;pea_status_confidence;is_synthetic;is_inverse_or_leveraged;official_adapter;official_url
ISIN:GB00BN6NHH92;GB00BN6NHH92;LSTE.PA;WisdomTree Physical Lido Staked Ether;EXTERNAL;CRYPTO_ETP;ETHEREUM_STAKING;EU;CRYPTO_STAKING;CoinDesk Lido Staked Ether Benchmark;WisdomTree;false;;;false;false;;https://www.wisdomtree.eu/
US_TICKER:IBIT;;IBIT;iShares Bitcoin Trust ETF;EXTERNAL;CRYPTO_ETF;BITCOIN;US;CRYPTO_BITCOIN;CME CF Bitcoin Reference Rate;iShares;false;;;false;false;;https://www.ishares.com/
US_TICKER:FBTC;;FBTC;Fidelity Wise Origin Bitcoin Fund;EXTERNAL;CRYPTO_ETF;BITCOIN;US;CRYPTO_BITCOIN;Bitcoin;Fidelity;false;;;false;false;;https://www.fidelity.com/
US_TICKER:ETHA;;ETHA;iShares Ethereum Trust ETF;EXTERNAL;CRYPTO_ETF;ETHEREUM;US;CRYPTO_ETHEREUM;CME CF Ether-Dollar Reference Rate;iShares;false;;;false;false;;https://www.ishares.com/
US_TICKER:FETH;;FETH;Fidelity Ethereum Fund;EXTERNAL;CRYPTO_ETF;ETHEREUM;US;CRYPTO_ETHEREUM;Ether;Fidelity;false;;;false;false;;https://www.fidelity.com/
US_TICKER:XLK;;XLK;Technology Select Sector SPDR Fund;EXTERNAL;ETF;US_TECHNOLOGY;US;TECHNOLOGY;Technology Select Sector Index;State Street;false;;;false;false;;
US_TICKER:SOXX;;SOXX;iShares Semiconductor ETF;EXTERNAL;ETF;SEMICONDUCTORS;US;SEMICONDUCTORS;NYSE Semiconductor Index;iShares;false;;;false;false;;
US_TICKER:SMH;;SMH;VanEck Semiconductor ETF;EXTERNAL;ETF;SEMICONDUCTORS;US;SEMICONDUCTORS;MVIS US Listed Semiconductor 25 Index;VanEck;false;;;false;false;;
US_TICKER:IGV;;IGV;iShares Expanded Tech-Software Sector ETF;EXTERNAL;ETF;SOFTWARE;US;SOFTWARE;Expanded Tech-Software Index;iShares;false;;;false;false;;
US_TICKER:CIBR;;CIBR;First Trust Nasdaq Cybersecurity ETF;EXTERNAL;ETF;CYBERSECURITY;US;CYBERSECURITY;Nasdaq CTA Cybersecurity Index;First Trust;false;;;false;false;;
US_TICKER:ITA;;ITA;iShares U.S. Aerospace & Defense ETF;EXTERNAL;ETF;DEFENSE;US;DEFENSE;Dow Jones U.S. Select Aerospace & Defense Index;iShares;false;;;false;false;;
US_TICKER:PPA;;PPA;Invesco Aerospace & Defense ETF;EXTERNAL;ETF;DEFENSE;US;DEFENSE;SPADE Defense Index;Invesco;false;;;false;false;;
US_TICKER:XLE;;XLE;Energy Select Sector SPDR Fund;EXTERNAL;ETF;ENERGY;US;ENERGY;Energy Select Sector Index;State Street;false;;;false;false;;
US_TICKER:XLF;;XLF;Financial Select Sector SPDR Fund;EXTERNAL;ETF;FINANCIALS;US;BANKS;Financial Select Sector Index;State Street;false;;;false;false;;
US_TICKER:XLV;;XLV;Health Care Select Sector SPDR Fund;EXTERNAL;ETF;HEALTHCARE;US;HEALTHCARE;Health Care Select Sector Index;State Street;false;;;false;false;;
US_TICKER:XLI;;XLI;Industrial Select Sector SPDR Fund;EXTERNAL;ETF;INDUSTRIALS;US;INDUSTRIALS;Industrial Select Sector Index;State Street;false;;;false;false;;
US_TICKER:XLU;;XLU;Utilities Select Sector SPDR Fund;EXTERNAL;ETF;UTILITIES;US;UTILITIES;Utilities Select Sector Index;State Street;false;;;false;false;;
US_TICKER:XLRE;;XLRE;Real Estate Select Sector SPDR Fund;EXTERNAL;ETF;REAL_ESTATE;US;REAL_ESTATE;Real Estate Select Sector Index;State Street;false;;;false;false;;
US_TICKER:XLB;;XLB;Materials Select Sector SPDR Fund;EXTERNAL;ETF;MATERIALS;US;MATERIALS;Materials Select Sector Index;State Street;false;;;false;false;;
US_TICKER:URA;;URA;Global X Uranium ETF;EXTERNAL;ETF;URANIUM_NUCLEAR;GLOBAL;NUCLEAR_URANIUM;Solactive Global Uranium & Nuclear Components Index;Global X;false;;;false;false;;
US_TICKER:COPX;;COPX;Global X Copper Miners ETF;EXTERNAL;ETF;COPPER_MINERS;GLOBAL;COPPER;Solactive Global Copper Miners Index;Global X;false;;;false;false;;
US_TICKER:ICLN;;ICLN;iShares Global Clean Energy ETF;EXTERNAL;ETF;CLEAN_ENERGY;GLOBAL;CLEAN_ENERGY;S&P Global Clean Energy Transition Index;iShares;false;;;false;false;;
US_TICKER:BOTZ;;BOTZ;Global X Robotics & Artificial Intelligence ETF;EXTERNAL;ETF;AI_ROBOTICS;GLOBAL;AI_ROBOTICS;Indxx Global Robotics & Artificial Intelligence Thematic Index;Global X;false;;;false;false;;
