criterion_id,name,description,family,horizon,direction,weight_default,source,frequency,pit_required,status,missing_policy,decision_role,provenance,source_row_id
V15_C029,Indice suivi,Indice suivi,03 Structure ETF,MULTI,GOVERNED_RULE,0.7905,Émetteur/KID/Marketstack,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C029
V15_C030,TER,TER,03 Structure ETF,MULTI,GOVERNED_RULE,0.7905,Émetteur/KID/Marketstack,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C030
V15_C031,Encours AUM,Encours AUM,03 Structure ETF,MULTI,GOVERNED_RULE,0.7905,Émetteur/KID/Marketstack,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C031
V15_C032,Ancienneté du fonds,Ancienneté du fonds,03 Structure ETF,MULTI,GOVERNED_RULE,0.7905,Émetteur/KID/Marketstack,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C032
V15_C033,Réplication,Réplication,03 Structure ETF,MULTI,GOVERNED_RULE,0.7905,Émetteur/KID/Marketstack,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C033
V15_C034,Risque contrepartie swap,Risque contrepartie swap,03 Structure ETF,MULTI,GOVERNED_RULE,0.7905,Émetteur/KID/Marketstack,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C034
V15_C035,Capitalisant/distribuant,Capitalisant/distribuant,03 Structure ETF,MULTI,GOVERNED_RULE,0.7905,Émetteur/KID/Marketstack,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C035
V15_C036,Tracking difference,Tracking difference,03 Structure ETF,MULTI,GOVERNED_RULE,0.7905,Émetteur/KID/Marketstack,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C036
V15_C037,Tracking error,Tracking error,03 Structure ETF,MULTI,GOVERNED_RULE,0.7905,Émetteur/KID/Marketstack,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C037
V15_C038,Turnover du fonds,Turnover du fonds,03 Structure ETF,MULTI,GOVERNED_RULE,0.7905,Émetteur/KID/Marketstack,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C038
V15_C039,Prêt de titres,Prêt de titres,03 Structure ETF,MULTI,GOVERNED_RULE,0.7905,Émetteur/KID/Marketstack,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C039
V15_C040,Nombre de positions,Nombre de positions,03 Structure ETF,MULTI,GOVERNED_RULE,0.7905,Émetteur/KID/Marketstack,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C040
V15_C041,Concentration Top 10,Concentration Top 10,03 Structure ETF,MULTI,GOVERNED_RULE,0.7905,Émetteur/KID/Marketstack,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C041
V15_C042,HHI concentration,HHI concentration,03 Structure ETF,MULTI,GOVERNED_RULE,0.7905,Émetteur/KID/Marketstack,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C042
V15_C043,Concentration pays,Concentration pays,03 Structure ETF,MULTI,GOVERNED_RULE,0.7905,Émetteur/KID/Marketstack,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C043
V15_C044,Concentration secteurs,Concentration secteurs,03 Structure ETF,MULTI,GOVERNED_RULE,0.7905,Émetteur/KID/Marketstack,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C044
V15_C045,Exposition devises,Exposition devises,03 Structure ETF,MULTI,GOVERNED_RULE,0.7905,Émetteur/KID/Marketstack,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C045
V15_C046,Couverture de change,Couverture de change,03 Structure ETF,MULTI,GOVERNED_RULE,0.7905,Émetteur/KID/Marketstack,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C046
V15_C047,Flux nets ETF,Flux nets ETF,03 Structure ETF,MULTI,GOVERNED_RULE,0.7905,Émetteur/KID/Marketstack,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C047
V15_C048,Évolution AUM,Évolution AUM,03 Structure ETF,MULTI,GOVERNED_RULE,0.7905,Émetteur/KID/Marketstack,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C048
V15_C049,Risque de fermeture/fusion,Risque de fermeture/fusion,03 Structure ETF,MULTI,GOVERNED_RULE,0.7905,Émetteur/KID/Marketstack,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C049
V15_C050,Croissance CA 1 an,Croissance CA 1 an,04 Fondamentaux Actions,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/émetteur,Trimestriel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C050
V15_C051,Croissance CA 3 ans,Croissance CA 3 ans,04 Fondamentaux Actions,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/émetteur,Trimestriel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C051
V15_C052,Croissance EPS 1 an,Croissance EPS 1 an,04 Fondamentaux Actions,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/émetteur,Trimestriel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C052
V15_C053,Croissance EPS 3 ans,Croissance EPS 3 ans,04 Fondamentaux Actions,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/émetteur,Trimestriel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C053
V15_C054,Marge EBIT,Marge EBIT,04 Fondamentaux Actions,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/émetteur,Trimestriel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C054
V15_C055,Évolution marge EBIT,Évolution marge EBIT,04 Fondamentaux Actions,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/émetteur,Trimestriel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C055
V15_C056,Marge nette,Marge nette,04 Fondamentaux Actions,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/émetteur,Trimestriel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C056
V15_C057,ROE,ROE,04 Fondamentaux Actions,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/émetteur,Trimestriel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C057
V15_C058,ROA,ROA,04 Fondamentaux Actions,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/émetteur,Trimestriel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C058
V15_C059,ROIC,ROIC,04 Fondamentaux Actions,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/émetteur,Trimestriel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C059
V15_C060,Free cash-flow yield,Free cash-flow yield,04 Fondamentaux Actions,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/émetteur,Trimestriel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C060
V15_C061,Conversion résultat en cash,Conversion résultat en cash,04 Fondamentaux Actions,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/émetteur,Trimestriel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C061
V15_C062,Dette nette/EBITDA,Dette nette/EBITDA,04 Fondamentaux Actions,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/émetteur,Trimestriel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C062
V15_C063,Couverture intérêts,Couverture intérêts,04 Fondamentaux Actions,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/émetteur,Trimestriel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C063
V15_C064,Liquidité bilan,Liquidité bilan,04 Fondamentaux Actions,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/émetteur,Trimestriel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C064
V15_C065,Capex/CA,Capex/CA,04 Fondamentaux Actions,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/émetteur,Trimestriel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C065
V15_C066,Qualité des bénéfices,Qualité des bénéfices,04 Fondamentaux Actions,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/émetteur,Trimestriel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C066
V15_C067,Rachats d’actions,Rachats d’actions,04 Fondamentaux Actions,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/émetteur,Trimestriel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C067
V15_C068,Émissions d’actions,Émissions d’actions,04 Fondamentaux Actions,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/émetteur,Trimestriel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C068
V15_C069,Avantage concurrentiel,Avantage concurrentiel,04 Fondamentaux Actions,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/émetteur,Trimestriel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C069
V15_C070,Qualité du management,Qualité du management,04 Fondamentaux Actions,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/émetteur,Trimestriel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C070
V15_C071,PER TTM,PER TTM,05 Valorisation,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/calcul interne,Quotidien,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C071
V15_C072,PER vs médiane secteur,PER vs médiane secteur,05 Valorisation,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/calcul interne,Quotidien,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C072
V15_C073,PER forward,PER forward,05 Valorisation,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/calcul interne,Quotidien,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C073
V15_C074,PEG,PEG,05 Valorisation,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/calcul interne,Quotidien,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C074
V15_C075,Price/Book,Price/Book,05 Valorisation,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/calcul interne,Quotidien,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C075
V15_C076,EV/EBITDA,EV/EBITDA,05 Valorisation,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/calcul interne,Quotidien,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C076
V15_C077,EV/FCF,EV/FCF,05 Valorisation,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/calcul interne,Quotidien,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C077
V15_C078,Décote vs historique,Décote vs historique,05 Valorisation,MULTI,GOVERNED_RULE,0,Yahoo/Alpha/calcul interne,Quotidien,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C078
V15_C079,Marge de sécurité,Marge de sécurité,05 Valorisation,MULTI,GOVERNED_RULE,0.6917,Calcul interne,Hebdo,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C079
V15_C080,Consensus niveau,Consensus niveau,06 Consensus & Brokers,MULTI,GOVERNED_RULE,0,Finnhub/Yahoo,Hebdo,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C080
V15_C081,Nombre d’analystes,Nombre d’analystes,06 Consensus & Brokers,MULTI,GOVERNED_RULE,0,Finnhub/Yahoo,Hebdo,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C081
V15_C082,Objectif moyen,Objectif moyen,06 Consensus & Brokers,MULTI,GOVERNED_RULE,0,Finnhub/Yahoo,Hebdo,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C082
V15_C083,Upside vers objectif,Upside vers objectif,06 Consensus & Brokers,MULTI,GOVERNED_RULE,0,Finnhub/Yahoo,Hebdo,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C083
V15_C084,Consensus delta 4 semaines,Consensus delta 4 semaines,06 Consensus & Brokers,MULTI,GOVERNED_RULE,0,Finnhub/Yahoo,Hebdo,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C084
V15_C085,Révisions objectifs,Révisions objectifs,06 Consensus & Brokers,MULTI,GOVERNED_RULE,0,Finnhub/Yahoo,Hebdo,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C085
V15_C086,Révisions EPS,Révisions EPS,06 Consensus & Brokers,MULTI,GOVERNED_RULE,0,Finnhub/Yahoo,Hebdo,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C086
V15_C087,Dispersion consensus,Dispersion consensus,06 Consensus & Brokers,MULTI,GOVERNED_RULE,0,Finnhub/Yahoo,Hebdo,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C087
V15_C088,Surprise résultats,Surprise résultats,06 Consensus & Brokers,MULTI,GOVERNED_RULE,0,Finnhub/Yahoo,Hebdo,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C088
V15_C089,Consensus composants,Consensus composants,06 Consensus & Brokers,MULTI,GOVERNED_RULE,0.7905,Calcul composants,Hebdo,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C089
V15_C090,Étoiles Morningstar,Étoiles Morningstar,07 Morningstar,MULTI,GOVERNED_RULE,0.6917,Morningstar/Boursorama,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C090
V15_C091,Risque Morningstar 1-7,Risque Morningstar 1-7,07 Morningstar,MULTI,GOVERNED_RULE,0.6917,Morningstar/Boursorama,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C091
V15_C092,Évolution étoiles,Évolution étoiles,07 Morningstar,MULTI,GOVERNED_RULE,0.6917,Morningstar/Boursorama,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C092
V15_C093,Classement catégorie 1 an,Classement catégorie 1 an,07 Morningstar,MULTI,GOVERNED_RULE,0.6917,Morningstar/Boursorama,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C093
V15_C094,Classement catégorie 3 ans,Classement catégorie 3 ans,07 Morningstar,MULTI,GOVERNED_RULE,0.6917,Morningstar/Boursorama,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C094
V15_C095,Classement catégorie 5 ans,Classement catégorie 5 ans,07 Morningstar,MULTI,GOVERNED_RULE,0.6917,Morningstar/Boursorama,Mensuel,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C095
V15_C096,MM20,MM20,08 Technique,MULTI,GOVERNED_RULE,0.6423,OHLCV/calcul interne,Quotidien,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C096
V15_C097,MM50,MM50,08 Technique,MULTI,GOVERNED_RULE,0.6423,OHLCV/calcul interne,Quotidien,True,ACTIVE,CONTRACT_TO_50,Final,VERIFIED_REPOSITORY_WORKBOOK_V18.2_ALL_CRITERIA,V15_C097
